Date,Category,Amount,Payment_Mode,Description
2025-01-02,Groceries,1088.23,Credit Card,Fresh Vegetables & Fruits
2025-01-04,Bills & Utilities,1451.01,UPI,Mobile Postpaid Recharge
2025-01-05,Groceries,3690.65,UPI,Supermarket Weekly Groceries
2025-01-05,Bills & Utilities,2262.98,Credit Card,Electricity Power Bill
2025-01-05,Transportation,429.14,Debit Card,Metro Rail Smartcard Recharge
2025-01-08,Groceries,2520.62,Debit Card,Dairy Milk & Eggs Delivery
2025-01-09,Food & Dining,293.34,Cash,Breakfast & Tea Stall
2025-01-11,Transportation,245.15,Cash,Auto Rickshaw Fare
2025-01-11,Groceries,1775.31,Debit Card,Spices & Cooking Essentials
2025-01-14,Transportation,415.16,Debit Card,Ola Auto Ride
2025-01-15,Food & Dining,837.32,Debit Card,Weekend Restaurant Dinner
2025-01-17,Shopping,1973.23,Credit Card,Myntra Clothing Order
2025-01-17,Bills & Utilities,1592.74,UPI,Broadband Wi-Fi Bill
2025-01-18,Food & Dining,487.87,Cash,Weekend Restaurant Dinner
2025-01-19,Shopping,2390.23,Credit Card,Home Furnishing Goods
2025-01-20,Bills & Utilities,3179.57,Credit Card,Broadband Wi-Fi Bill
2025-01-21,Entertainment,1134.95,Credit Card,BookMyShow Cinema Tickets
2025-01-23,Bills & Utilities,3323.26,Credit Card,Water Supply Utility Charge
2025-01-24,Groceries,833.51,Credit Card,Dairy Milk & Eggs Delivery
2025-01-25,Entertainment,744.69,UPI,Spotify Annual Plan
2025-01-26,Transportation,585.55,UPI,City Bus Pass
2025-01-26,Shopping,1632.5,Credit Card,Electronics Accessories Cable
2025-01-27,Food & Dining,616.5,Debit Card,Zomato Food Order
2025-01-27,Education,1379.94,Debit Card,Coursera Certification Course
2025-01-27,Food & Dining,707.13,Debit Card,Fast Food Burger & Fries
2025-01-27,Shopping,2560.85,Credit Card,Footwear & Shoes Store
2025-01-28,Transportation,435.13,UPI,Auto Rickshaw Fare
2025-01-28,Groceries,1599.22,Credit Card,Supermarket Weekly Groceries
2025-01-29,Food & Dining,535.75,UPI,Office Cafeteria Lunch
2025-01-30,Healthcare,643.5,UPI,Apollo Pharmacy Medicines
2025-01-31,Food & Dining,540.0,Cash,Swiggy Grocery Snack
2025-02-01,Food & Dining,614.17,Cash,Zomato Food Order
2025-02-01,Groceries,1239.22,UPI,Spices & Cooking Essentials
2025-02-02,Groceries,2015.31,UPI,Organic Mart Essentials
2025-02-02,Groceries,1524.06,Credit Card,Spices & Cooking Essentials
2025-02-04,Entertainment,1316.41,UPI,Weekend Streaming Movies
2025-02-05,Healthcare,984.52,Cash,Vitamin & Protein Supplements
2025-02-05,Food & Dining,774.97,UPI,Cafe Coffee Day
2025-02-06,Bills & Utilities,3399.39,Credit Card,Water Supply Utility Charge
2025-02-07,Entertainment,736.56,UPI,BookMyShow Cinema Tickets
2025-02-08,Healthcare,1546.85,UPI,Vitamin & Protein Supplements
2025-02-09,Entertainment,959.27,Credit Card,Gaming Arcade & Bowling
2025-02-11,Transportation,197.96,Cash,Ola Auto Ride
2025-02-12,Bills & Utilities,1198.34,Credit Card,Broadband Wi-Fi Bill
2025-02-13,Entertainment,572.6,UPI,BookMyShow Cinema Tickets
2025-02-13,Groceries,1604.0,Credit Card,Fresh Vegetables & Fruits
2025-02-14,Food & Dining,635.23,Debit Card,Breakfast & Tea Stall
2025-02-16,Food & Dining,811.05,Cash,Zomato Food Order
2025-02-16,Bills & Utilities,2462.68,Credit Card,Electricity Power Bill
2025-02-16,Shopping,1181.59,Credit Card,Books & Study Stationery
2025-02-17,Groceries,1573.04,Credit Card,Organic Mart Essentials
2025-02-17,Healthcare,1863.03,UPI,Dental Routine Checkup
2025-02-17,Transportation,315.34,Cash,Metro Rail Smartcard Recharge
2025-02-18,Transportation,301.67,Cash,Auto Rickshaw Fare
2025-02-20,Healthcare,883.74,UPI,Diagnostic Blood Test Lab
2025-02-21,Shopping,1754.11,UPI,Myntra Clothing Order
2025-02-21,Entertainment,834.34,Credit Card,BookMyShow Cinema Tickets
2025-02-21,Transportation,361.67,Debit Card,Petrol Fuel Refill
2025-02-22,Bills & Utilities,1769.61,Credit Card,Water Supply Utility Charge
2025-02-25,Food & Dining,450.26,Debit Card,Office Cafeteria Lunch
2025-02-25,Transportation,286.96,Cash,City Bus Pass
2025-02-26,Shopping,1618.02,Credit Card,Amazon Online Shopping
2025-02-26,Shopping,2190.75,Debit Card,Amazon Online Shopping
2025-02-28,Transportation,236.1,Debit Card,Ola Auto Ride
2025-02-28,Transportation,224.96,Cash,Ola Auto Ride
2025-03-01,Entertainment,683.09,Credit Card,BookMyShow Cinema Tickets
2025-03-01,Education,1457.49,Debit Card,Coursera Certification Course
2025-03-02,Transportation,204.82,Debit Card,Ola Auto Ride
2025-03-03,Shopping,2348.75,Credit Card,Footwear & Shoes Store
2025-03-06,Food & Dining,774.89,Cash,Weekend Restaurant Dinner
2025-03-07,Transportation,618.03,UPI,Ola Auto Ride
2025-03-07,Food & Dining,577.43,UPI,Weekend Restaurant Dinner
2025-03-09,Bills & Utilities,1766.53,UPI,Electricity Power Bill
2025-03-09,Food & Dining,531.37,Cash,Breakfast & Tea Stall
2025-03-10,Food & Dining,1057.29,Cash,Office Cafeteria Lunch
2025-03-10,Shopping,2617.41,Debit Card,Electronics Accessories Cable
2025-03-11,Food & Dining,911.79,Debit Card,Zomato Food Order
2025-03-12,Food & Dining,589.42,UPI,Local Dhaba Dinner
2025-03-12,Transportation,572.09,Debit Card,Metro Rail Smartcard Recharge
2025-03-13,Bills & Utilities,2549.7,Credit Card,Electricity Power Bill
2025-03-15,Groceries,2165.73,UPI,Supermarket Weekly Groceries
2025-03-16,Food & Dining,525.6,Debit Card,Office Cafeteria Lunch
2025-03-19,Groceries,1772.99,Debit Card,Dairy Milk & Eggs Delivery
2025-03-19,Healthcare,1195.57,Debit Card,Apollo Pharmacy Medicines
2025-03-22,Groceries,3202.25,Debit Card,Dairy Milk & Eggs Delivery
2025-03-22,Food & Dining,635.02,Cash,Fast Food Burger & Fries
2025-03-23,Healthcare,775.33,Cash,Dental Routine Checkup
2025-03-25,Healthcare,707.1,UPI,Diagnostic Blood Test Lab
2025-03-26,Food & Dining,967.91,Debit Card,Swiggy Grocery Snack
2025-03-26,Bills & Utilities,1045.18,UPI,Housing Society Maintenance
2025-03-28,Transportation,263.76,Debit Card,Auto Rickshaw Fare
2025-03-29,Food & Dining,755.12,Debit Card,Local Dhaba Dinner
2025-03-31,Food & Dining,923.18,Debit Card,Swiggy Grocery Snack
2025-04-01,Entertainment,348.12,Credit Card,Gaming Arcade & Bowling
2025-04-01,Healthcare,1444.35,Debit Card,Vitamin & Protein Supplements
2025-04-04,Food & Dining,586.84,UPI,Fast Food Burger & Fries
2025-04-06,Bills & Utilities,1223.17,UPI,Electricity Power Bill
2025-04-06,Groceries,1828.33,Debit Card,Dairy Milk & Eggs Delivery
2025-04-07,Education,1209.5,UPI,Udemy Python Programming Course
2025-04-09,Food & Dining,658.85,Cash,Swiggy Grocery Snack
2025-04-09,Food & Dining,400.87,UPI,Swiggy Grocery Snack
2025-04-10,Groceries,3160.44,Credit Card,Spices & Cooking Essentials
2025-04-12,Food & Dining,825.99,Cash,Local Dhaba Dinner
2025-04-12,Food & Dining,416.08,Cash,Cafe Coffee Day
2025-04-13,Shopping,2101.24,UPI,Myntra Clothing Order
2025-04-13,Shopping,1341.36,UPI,Amazon Online Shopping
2025-04-15,Bills & Utilities,1793.79,UPI,LPG Gas Cylinder Booking
2025-04-16,Food & Dining,899.9,UPI,Local Dhaba Dinner
2025-04-18,Bills & Utilities,2524.96,UPI,Water Supply Utility Charge
2025-04-18,Shopping,48500.0,Credit Card,Luxury Flagship Smartphone & Earbuds Purchase
2025-04-19,Groceries,1387.43,Credit Card,Organic Mart Essentials
2025-04-23,Food & Dining,842.2,UPI,Local Dhaba Dinner
2025-04-24,Groceries,1186.91,Debit Card,Blinkit Daily Essentials
2025-04-24,Shopping,3390.93,Credit Card,Home Furnishing Goods
2025-04-25,Food & Dining,452.79,Debit Card,Swiggy Grocery Snack
2025-04-26,Transportation,576.77,UPI,Metro Rail Smartcard Recharge
2025-04-26,Entertainment,1122.15,Credit Card,Weekend Streaming Movies
2025-04-27,Bills & Utilities,2016.37,Net Banking,Housing Society Maintenance
2025-04-29,Food & Dining,452.32,UPI,Office Cafeteria Lunch
2025-04-30,Groceries,2084.36,Debit Card,Dairy Milk & Eggs Delivery
2025-04-30,Groceries,1134.02,Debit Card,Supermarket Weekly Groceries
2025-04-30,Transportation,273.67,Cash,Airport Shuttle Cab
2025-05-02,Food & Dining,659.72,Cash,Office Cafeteria Lunch
2025-05-02,Groceries,1573.01,Credit Card,Blinkit Daily Essentials
2025-05-02,Healthcare,1417.71,Cash,Dental Routine Checkup
2025-05-03,Food & Dining,1039.56,UPI,Cafe Coffee Day
2025-05-03,Bills & Utilities,1787.25,Net Banking,Water Supply Utility Charge
2025-05-03,Groceries,2537.25,Credit Card,Supermarket Weekly Groceries
2025-05-04,Bills & Utilities,2124.37,Net Banking,Housing Society Maintenance
2025-05-04,Bills & Utilities,2430.38,Credit Card,Housing Society Maintenance
2025-05-05,Groceries,1126.25,UPI,Organic Mart Essentials
2025-05-06,Groceries,1160.65,Debit Card,Blinkit Daily Essentials
2025-05-06,Education,1792.54,Net Banking,Coding Bootcamp Monthly Fee
2025-05-08,Healthcare,473.8,UPI,Dental Routine Checkup
2025-05-09,Bills & Utilities,2666.74,Credit Card,Housing Society Maintenance
2025-05-09,Shopping,1244.4,Credit Card,Myntra Clothing Order
2025-05-10,Shopping,2123.58,Debit Card,Electronics Accessories Cable
2025-05-10,Food & Dining,786.78,Debit Card,Weekend Restaurant Dinner
2025-05-11,Food & Dining,625.03,Cash,Local Dhaba Dinner
2025-05-11,Groceries,1147.42,Credit Card,Supermarket Weekly Groceries
2025-05-11,Groceries,1056.99,Credit Card,Blinkit Daily Essentials
2025-05-12,Food & Dining,412.81,Cash,Breakfast & Tea Stall
